S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max Price ,Min. Price,Close Price
1,11/25/2021,961,64950,100167376.7,1550,1535,1538
2,11/24/2021,808,54975,84660876.9,1550,1527,1545
3,11/23/2021,964,62286,95971223.5,1550,1532,1537
4,11/22/2021,1007,80745,124845767.5,1554.9,1540,1546
5,11/21/2021,1112,75509,116771963.4,1565,1538,1544
6,11/18/2021,1234,89460,138623591.7,1587.1,1546,1547
7,11/17/2021,1323,99187,154429470.8,1570,1548,1556
8,11/16/2021,1164,74044,115229721.7,1565,1546.1,1559
9,11/15/2021,1537,104146,161517790.6,1576,1540,1540
10,11/14/2021,1561,107590,166765368.9,1575,1540,1548
11,11/11/2021,2636,199932,310857416.4,1580,1540,1550
12,11/9/2021,2924,188332,298281752.5,1614.7,1570,1579
13,11/8/2021,2738,186984,303329062.3,1660,1605,1614.7
14,11/3/2021,7483,705430,1179786180,1740,1640.1,1653
15,11/2/2021,1174,131659,211786540.6,1650,1594,1608
16,11/1/2021,1744,215086,340099480.3,1620,1551,1620
17,10/31/2021,1838,176045,280317853.1,1629.9,1573,1580
18,10/28/2021,1588,141749,227514050.7,1619,1595,1598
19,10/27/2021,2534,270557,431931533,1620,1559,1606
20,10/26/2021,2278,225327,347877019.5,1578,1498,1569
21,10/25/2021,949,78485,116525820.8,1500.3,1470.3,1497
22,10/24/2021,791,54884,80712397.3,1479,1462,1470.9
23,10/21/2021,865,65682,96418376.7,1480,1447,1471
24,10/20/2021,774,65244,94805048.2,1479,1430,1460
25,10/19/2021,1093,77881,111382423,1450,1420.1,1431
26,10/18/2021,911,67707,98998518.3,1482,1448,1468
27,10/17/2021,795,56389,83267214.7,1507,1465,1482
28,10/11/2021,1430,118043,171385318.3,1503,1439.9,1450
29,10/10/2021,1074,77855,114755872.1,1500,1462.6,1474
30,10/6/2021,885,57353,82656811.9,1453,1410,1444.9
31,10/5/2021,684,44358,62216475.8,1410,1394,1410
32,10/4/2021,804,60200,83897360.6,1407,1370,1397
33,10/3/2021,858,55819,78068846.3,1429.9,1393,1395
34,9/30/2021,695,47037,66324708.4,1419,1401,1407
35,9/29/2021,759,58596,81901279.3,1420,1379,1408
36,9/28/2021,1306,86659,120745318.6,1415,1380,1395
37,9/27/2021,778,47830,67613766.6,1435,1403,1415
38,9/26/2021,1358,116113,167255276.4,1465,1427,1431
39,9/23/2021,1449,136670,197580382.7,1455,1430,1438
40,9/22/2021,1058,79284,111996296.9,1425,1400,1424.4
41,9/21/2021,2131,148677,205606794.6,1415,1345,1389
42,9/20/2021,1985,132043,184440763.7,1440,1380,1393
43,9/16/2021,1621,108701,154238803.7,1440,1408,1424.5
44,9/15/2021,609,37192,53826948.5,1470,1440,1445
45,9/14/2021,693,46726,68300810.8,1473,1445,1453
46,9/13/2021,1017,210616,307356782.3,1482,1440,1455
47,9/12/2021,943,75225,107395777.5,1447,1410,1440
48,9/9/2021,1009,70348,99403841.1,1420,1410,1410
49,9/8/2021,927,59583,84171412.7,1430,1404,1415
50,9/7/2021,1063,79191,113607001.3,1470,1419,1429.9
51,9/6/2021,1778,134284,190642503.8,1445,1380,1442
52,9/5/2021,2354,177307,246544579.6,1420,1372,1388
53,9/2/2021,1319,105395,149553931,1440,1414,1418
54,9/1/2021,1762,124665,177400692.5,1446,1408,1420
