S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,4/21/2022,379,397,365,382,2.72,74534,27842069.4
2,4/20/2022,388.1,395,371,371.9,-4.64,108762,41534206.9
3,4/19/2022,394.9,403,379,390,0.65,91503,35573369.2
4,4/18/2022,408.9,408.9,387,387.5,-3.41,83672,32988464
5,4/17/2022,415,421,401.2,401.2,-2.86,118936,48625304.7
6,4/13/2022,414.9,421,407,413,0,126288,52103544.1
7,4/12/2022,434.5,434.5,410,413,-3.05,82960,34602469.2
8,4/11/2022,440,457.7,425,426,-3.18,130526,57526634.8
9,4/7/2022,439.9,445,430,440,1.62,110681,48565458.8
10,4/6/2022,437,447,428.2,433,-1.37,100503,43869855.1
11,4/5/2022,446,452,429.3,439,-2.66,154842,68039966.9
12,4/4/2022,451,459.5,448,451,-1.12,86541,39102886.1
13,4/3/2022,470,471,455.7,456.1,-2.75,63957,29394016
14,3/31/2022,486.1,490,465.1,469,-2.72,78193,37029719.3
15,3/30/2022,465.5,484,462,482.1,3.68,101502,48255848.2
16,3/29/2022,471,477.6,461.2,465,-0.85,69503,32481502.3
17,3/28/2022,466,480,466,469,-1.26,103690,48900163.9
18,3/27/2022,495,495,472.9,475,-3.55,183024,88262659.7
19,3/24/2022,500,504,491,492.5,-1.16,88615,43913945.8
20,3/23/2022,508,508,495,498.3,-2.29,163144,81719224.4
21,3/22/2022,522,525,508.7,510,-1.92,130596,67437164.4
22,3/21/2022,500,523,491,520,4.84,181425,92339119
23,3/20/2022,500,503,494,496,0.4,58859,29251723.1
24,3/16/2022,500.1,507,490.1,494,-1.22,98098,48624300.5
25,3/15/2022,520,520,500,500.1,-2.76,161391,81794352.9
26,3/14/2022,507.7,524,507.7,514.3,-0.71,95624,49148326.7
27,3/13/2022,517.6,525,507.6,518,2.07,249397,129130330.2
28,3/10/2022,477,524,470,507.5,6.39,239344,118674988.4
29,3/9/2022,500,501,472,477,-3.44,196009,93861908.2
30,3/7/2022,485.1,503,485.1,494,-0.2,114869,56889783.2
31,3/6/2022,500,514,490.1,495,-1.04,133427,66614293.3
32,3/2/2022,534.4,534.4,499,500.2,-4.54,278936,141914211.8
33,2/28/2022,554.2,565,520,524,-3.57,279518,149452467.6
34,2/27/2022,542.6,550,531,543.4,2.14,187615,101928478.4
35,2/24/2022,543.1,548,530,532,-2.92,241993,129743943.5
36,2/23/2022,552,558.9,547.3,548,-1.44,135015,74677430.1
37,2/22/2022,539,566,539,556,1.09,228726,127819649.6
38,2/21/2022,545,552.9,540,550,1.66,186119,101822762.8
39,2/20/2022,541,555,530,541,-1.99,314734,171267901.6
40,2/17/2022,552,560.7,546,552,-0.72,144692,80006210.8
41,2/16/2022,569,573,550.2,556,-2.97,286885,160871011.6
42,2/15/2022,551.8,574,542,573,5.91,243819,135339637.8
43,2/14/2022,550,560,538,541,-0.37,278738,152376125.8
44,2/13/2022,563.5,563.5,542.1,543,-5.57,517407,283945082
45,2/10/2022,584.4,584.4,568,575,0.35,283093,162638954.7
46,2/9/2022,571,581,564.1,573,-0.17,325928,186169765.3
47,2/8/2022,602,610,571,574,-2.79,611755,358512432.9
48,2/7/2022,600,601,585,590.5,-1.42,425281,251664732.8
49,2/6/2022,604.8,628.3,593,599,1.01,900863,544993283.3
50,2/3/2022,574,610,574,593,5.33,1384721,827035336.5
51,2/1/2022,544.6,566,530,563,5.43,671287,371445566.2
52,1/31/2022,555,555,534,534,-2.02,338727,182626713.1
53,1/30/2022,509.8,545,509.8,545,9.02,412650,219636501.1
54,1/27/2022,507,507,495,499.9,0.18,167638,83771017.2
55,1/26/2022,518,518,491,499,-1.77,270788,135567136.1
56,1/25/2022,520,528,501.2,508,-1.17,206565,106380267.3
57,1/24/2022,533.5,537,506,514,-5.34,587492,304966895.7
58,1/23/2022,552,559.8,534,543,-1.27,276348,150477115.6
59,1/20/2022,551.4,555,535.1,550,1.48,294440,161090168.8
60,1/19/2022,550,559.9,540,542,-3.21,367013,200739654.5
61,1/18/2022,582.7,582.7,545,560,-1.98,457209,257142421.2
62,1/17/2022,550,573.2,532,571.3,5.89,799204,445494479.2
63,1/16/2022,511,544,510.1,539.5,7.68,686411,364317531.7
64,1/13/2022,483,508,480.2,501,3.73,273609,136175644.4
65,1/12/2022,490,504,478,483,-1.43,309308,151569912.9
66,1/11/2022,485,496,481,490,1.03,212925,104010097.7
67,1/10/2022,497.7,500,476.1,485,-0.61,295079,144320106.8
68,1/9/2022,465,491,465,488,6.53,388427,187505428.4
69,1/6/2022,451,463,435.1,458.1,1.8,191377,87278017.4
70,1/5/2022,447,462,439,450,1.12,245379,110719148.5
71,1/4/2022,430,448,430,445,2.3,157611,69786523
72,1/3/2022,447,448,435,435,-1.58,125498,55311521
73,1/2/2022,434.5,444,425.9,442,2.84,171026,74745539.9
74,12/29/2021,430,435,423,429.8,0.66,74145,31765538.4
75,12/28/2021,415,430,410,427,0.95,141034,59348316.9
76,12/27/2021,441,460,418.1,423,-4.06,259028,112184908
77,12/26/2021,447,455,435,440.9,-1.36,241558,106450708.1
78,12/23/2021,446.5,461,431,447,2.1,314113,141017822.5
79,12/22/2021,405,437.8,400,437.8,10,325925,139017306.7
80,12/21/2021,380,398,380,398,5.57,102673,40326104
81,12/20/2021,380,390,375,377,-2.33,73563,27969931.8
82,12/16/2021,400,405,385.2,386,-3.5,134064,52840483.6
83,12/15/2021,406.1,425,395,400,0.45,274791,113114621.5
84,12/14/2021,369,398.2,367.5,398.2,10,102980,39559648.6
85,12/13/2021,373,380,359,362,-4.74,181491,66507851.7
86,12/12/2021,396.2,399,379.1,380,-5.24,128447,49825789.9
87,12/9/2021,396,408,389,401,-0.12,152407,60607637.4
88,12/8/2021,420,420,400,401.5,-4.4,161666,65855947.1
89,12/7/2021,442,448.8,416.5,420,-4.11,124519,54138538.8
90,12/6/2021,424,440.5,401.1,438,3.3,274878,115779709.7
91,12/5/2021,445,445,413.6,424,-4.5,206917,87732711.3
92,12/2/2021,465,465,442.5,444,-3.48,104731,46877047.4
93,12/1/2021,471.2,471.2,456,460,-0.43,80617,37446154.2
94,11/30/2021,461,468,450,462,0.65,115571,52584300.9
95,11/29/2021,445,470.2,445,459,1.39,120813,55069698.8
96,11/28/2021,464.6,474,447,452.7,-4.49,211066,96766780.1
97,11/25/2021,483,489,470.4,474,-1.25,78178,37360716.8
98,11/24/2021,477,493,461,480,0.63,145578,69216820.9
99,11/23/2021,488,490,474.9,477,-2.65,138717,66636719.9
100,11/22/2021,496,500,487,490,0.57,93346,46041025.8
101,11/21/2021,487,504.9,483,487.2,0.04,76078,37424805.6
102,11/18/2021,495,508,487,487,-2.21,127493,63163045.4
103,11/17/2021,515,524,498,498,-2.16,194959,99812395.5
104,11/16/2021,499.8,510,485,509,3.88,259763,129939576.8
105,11/15/2021,484.5,499,478.1,490,3.16,257006,125987132.8
106,11/14/2021,469,486,462,475,1.28,198022,94239229.4
107,11/11/2021,489,493,465,469,-3.89,231420,109917313.4
108,11/9/2021,528.3,528.3,483.2,488,-5.79,369247,182924155.6
109,11/8/2021,530,530.1,513,518,-1.05,115474,60230616
110,11/3/2021,527.3,545,518,523.5,1.26,274606,144739395.7
111,11/2/2021,514,526,499.8,517,0.58,319962,164205694
112,11/1/2021,545,553,511.7,514,-4.1,405097,213024398.4
113,10/31/2021,510,545,500,536,6.14,333975,175951319.9
114,10/28/2021,465,512,461,505,7.22,294725,143260547.1
115,10/27/2021,485,493.6,460,471,-1.46,375343,179709212.8
116,10/26/2021,452,482,448,478,7.71,356942,167318037.2
117,10/25/2021,411,443.8,409,443.8,9.99,242428,105128434.5
118,10/24/2021,384,412,375,403.5,5.63,217316,86461400.5
119,10/21/2021,387,400,371,382,-1.29,160076,62157965.4
120,10/20/2021,361.1,389,361.1,387,9.29,193699,73122286.4
121,10/19/2021,384,389,349.2,354.1,-8.71,238259,85988049.3
122,10/18/2021,400,403,381.6,387.9,-3.75,131090,50987101.6
123,10/17/2021,412,412,400,403,-0.49,41927,16917744.1
124,10/11/2021,433.3,439,400,405,-4.68,183755,74980133.6
125,10/10/2021,451.8,452,418.5,424.9,-4.09,104878,45400006.4
126,10/6/2021,441.1,447,431,443,1.21,110809,48913900.8
127,10/5/2021,426,441,426,437.7,2.75,88902,38713004.3
128,10/4/2021,425,442,413,426,-1.39,199288,85171232.1
129,10/3/2021,476.3,476.3,430,432,-7.49,157164,69942130.9
130,9/30/2021,499.8,499.8,461.6,467,-4.69,119965,57439014.1
131,9/29/2021,455,495,445,490,6.99,280710,131745140.9
132,9/28/2021,501.2,504,446,458,-6.91,287627,134958030.7
133,9/27/2021,533.4,554,490,492,-5.93,304691,154971230.9
134,9/26/2021,626.2,626.2,572,575,-6.35,576866,339573655.1
135,9/23/2021,650,652,609,614,-4.36,276350,173104938.3
136,9/22/2021,610,648,600,642,7.18,370833,233485511
137,9/21/2021,591,623,580,599,-0.33,421946,254415233.1
138,9/20/2021,667,679,590,601,-8.1,658816,406531436.7
139,9/16/2021,688,688,644,654,-3.15,589394,386043508.3
140,9/15/2021,700,700,675.3,675.3,-2.83,324098,221470756.9
141,9/14/2021,700,715,686,695,-1.4,388015,270370524.1
142,9/13/2021,749.8,749.8,695,704.9,-4.11,868080,619350793
143,9/12/2021,717.6,745,715,735.1,4.48,1009242,737708685.2
144,9/9/2021,685,708,676,703.6,4.24,701535,488563905.7
145,9/8/2021,690,690,661.1,675,-0.75,366120,245123638.5
146,9/7/2021,719,719,668,680.1,-3.61,555671,384287482.8
147,9/6/2021,640,705.6,637,705.6,9.99,682993,463091456.6
148,9/5/2021,680.2,684,624.6,641.5,-7.56,1090417,703330208.4
149,9/2/2021,730,744.6,672,694,-4.41,810299,574012291.4
150,9/1/2021,737,760,725,726,-1.49,811393,599936049.1
151,8/31/2021,780,780,736,737,-4.9,1349363,1010573384
152,8/29/2021,734.9,785,734,775,7.56,1712329,1318344779
153,8/26/2021,665,720.5,665,720.5,10,1330808,938440900.4
154,8/25/2021,670,679,644,655,-2.24,706926,467111307.2
155,8/24/2021,684,685.8,660,670,-3.87,1121211,754333723.7
156,8/19/2021,704.6,730,662,697,0.9,1690522,1165240387
157,8/18/2021,640,690.8,640,690.8,10,670086,457585255.3
158,8/17/2021,615,642.1,610,628,4.15,694125,437046223.9
159,8/16/2021,603,620,582,603,1.86,519211,313434798.9
160,8/15/2021,616.5,616.5,570,592,-5.88,966111,576067403.9
