S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2022-04-21,276.40,276.40,266.60,274.00,1.11,"40,062.00","10,783,742.30"
2,2022-04-20,276.40,276.40,270.00,271.00,0.00,"39,691.00","10,780,483.70"
3,2022-04-19,272.00,272.00,265.00,271.00,1.50,"34,752.00","9,352,209.20"
4,2022-04-18,274.10,274.10,266.60,267.00,-1.84,"42,260.00","11,347,332.70"
5,2022-04-17,276.60,276.60,270.20,272.00,0.29,"36,428.00","9,912,259.10"
6,2022-04-13,272.00,275.00,269.00,271.20,0.44,"39,543.00","10,724,452.70"
7,2022-04-12,275.10,275.10,268.60,270.00,-1.82,"28,908.00","7,816,975.70"
8,2022-04-11,284.50,291.00,272.00,275.00,-1.43,"51,888.00","14,395,796.00"
9,2022-04-07,273.00,281.00,272.00,279.00,2.27,"31,723.00","8,772,612.10"
10,2022-04-06,275.00,277.00,271.50,272.80,-1.52,"33,557.00","9,182,827.90"
11,2022-04-05,287.60,287.60,270.00,277.00,-1.77,"80,132.00","22,070,263.00"
12,2022-04-04,282.00,285.00,281.00,282.00,-1.05,"16,605.00","4,697,105.20"
13,2022-04-03,286.00,286.00,280.00,285.00,-0.04,"30,563.00","8,618,991.10"
14,2022-03-31,290.00,291.00,284.00,285.10,-0.66,"53,241.00","15,249,289.30"
15,2022-03-30,289.90,290.00,284.20,287.00,0.00,"25,767.00","7,389,640.20"
16,2022-03-29,287.20,290.00,284.00,287.00,0.00,"28,868.00","8,235,496.90"
17,2022-03-28,290.00,291.00,285.20,287.00,-1.07,"49,604.00","14,260,505.00"
18,2022-03-27,295.00,300.00,289.20,290.10,-2.42,"46,956.00","13,700,640.90"
19,2022-03-24,302.00,302.00,294.50,297.30,-1.23,"69,498.00","20,533,857.10"
20,2022-03-23,305.00,305.00,297.10,301.00,-0.33,"49,796.00","14,879,932.90"
21,2022-03-22,300.00,302.90,298.20,302.00,1.34,"39,119.00","11,738,164.00"
22,2022-03-21,293.10,300.00,293.10,298.00,0.85,"30,919.00","9,152,034.30"
23,2022-03-20,304.00,304.00,295.00,295.50,-0.87,"17,840.00","5,288,321.40"
24,2022-03-16,302.00,304.00,298.00,298.10,-1.29,"25,426.00","7,610,508.20"
25,2022-03-15,304.00,306.00,299.00,302.00,-1.02,"45,051.00","13,628,748.80"
26,2022-03-14,305.00,307.00,303.00,305.10,0.07,"16,966.00","5,174,074.90"
27,2022-03-13,295.00,305.00,294.00,304.90,4.42,"72,005.00","21,516,378.00"
28,2022-03-10,287.00,292.00,286.00,292.00,0.69,"22,260.00","6,461,083.00"
29,2022-03-09,290.00,294.00,288.00,290.00,-0.68,"54,286.00","15,754,896.40"
30,2022-03-07,286.20,296.00,286.20,292.00,0.00,"39,328.00","11,465,114.50"
31,2022-03-06,292.00,295.00,289.20,292.00,0.17,"34,570.00","10,080,890.90"
32,2022-03-02,295.50,300.00,289.70,291.50,-1.49,"70,145.00","20,426,369.30"
33,2022-02-28,300.00,301.00,293.20,295.90,-0.64,"66,596.00","19,770,292.20"
34,2022-02-27,300.00,303.00,294.00,297.80,-0.73,"49,320.00","14,615,808.60"
35,2022-02-24,304.00,307.00,298.10,300.00,-2.28,"65,757.00","19,811,755.60"
36,2022-02-23,309.90,309.90,305.50,307.00,-0.65,"41,764.00","12,827,433.90"
37,2022-02-22,310.00,315.90,308.00,309.00,-0.32,"43,071.00","13,343,164.10"
38,2022-02-21,312.00,312.00,304.00,310.00,1.31,"55,581.00","17,125,210.00"
39,2022-02-20,306.20,309.00,303.10,306.00,-2.02,"51,452.00","15,762,674.80"
40,2022-02-17,308.00,313.00,307.00,312.30,1.23,"72,584.00","22,528,753.20"
41,2022-02-16,318.70,318.70,308.10,308.50,-1.47,"39,481.00","12,307,222.70"
42,2022-02-15,315.00,315.00,307.00,313.10,1.00,"38,075.00","11,792,537.60"
43,2022-02-14,306.10,313.00,306.10,310.00,-0.03,"62,480.00","19,334,364.40"
44,2022-02-13,312.00,315.00,306.50,310.10,-2.33,"100,671.00","31,257,237.10"
45,2022-02-10,318.00,321.00,316.00,317.50,0.00,"68,488.00","21,804,052.60"
46,2022-02-09,318.20,322.00,317.10,317.50,-0.16,"31,194.00","9,934,685.50"
47,2022-02-08,326.00,332.00,318.00,318.00,-0.63,"95,205.00","30,534,674.80"
48,2022-02-07,320.00,325.00,317.00,320.00,-0.03,"43,150.00","13,804,048.50"
49,2022-02-06,324.10,327.00,318.10,320.10,-1.51,"48,184.00","15,475,530.70"
50,2022-02-03,330.00,335.00,325.00,325.00,-1.52,"87,824.00","28,866,394.60"
51,2022-02-01,323.00,332.00,320.00,330.00,1.85,"89,259.00","29,158,232.30"
52,2022-01-31,330.00,333.00,324.00,324.00,-2.41,"58,323.00","19,071,958.70"
53,2022-01-30,326.00,335.50,325.40,332.00,2.79,"75,332.00","24,830,355.50"
54,2022-01-27,322.00,326.90,320.40,323.00,0.03,"48,916.00","15,804,927.50"
55,2022-01-26,325.00,325.00,319.00,322.90,-0.65,"48,666.00","15,664,174.00"
56,2022-01-25,320.00,329.40,320.00,325.00,-0.31,"87,435.00","28,447,574.40"
57,2022-01-24,340.60,340.60,322.00,326.00,-2.40,"138,428.00","45,284,756.30"
58,2022-01-23,342.00,342.00,331.40,334.00,-1.18,"167,130.00","55,950,970.50"
59,2022-01-20,340.00,340.00,333.60,338.00,-0.29,"64,821.00","21,818,408.20"
60,2022-01-19,343.00,347.00,338.00,339.00,-1.17,"75,958.00","25,889,840.80"
61,2022-01-18,342.50,350.30,334.00,343.00,1.48,"282,933.00","96,339,664.10"
62,2022-01-17,339.00,346.00,336.20,338.00,1.50,"90,457.00","30,665,916.30"
63,2022-01-16,338.00,342.00,332.00,333.00,0.30,"129,165.00","43,253,767.10"
64,2022-01-13,335.00,343.00,330.90,332.00,0.00,"78,924.00","26,285,481.10"
65,2022-01-12,343.90,343.90,331.00,332.00,-1.54,"117,692.00","39,439,186.30"
66,2022-01-11,344.00,344.00,337.00,337.20,-0.82,"101,610.00","34,511,328.50"
67,2022-01-10,346.00,347.00,335.00,340.00,-1.73,"138,481.00","47,192,589.40"
68,2022-01-09,344.50,350.00,339.00,346.00,1.65,"250,067.00","85,902,552.70"
69,2022-01-06,336.00,341.00,333.00,340.40,1.31,"104,228.00","35,193,737.30"
70,2022-01-05,338.00,344.00,333.00,336.00,-0.59,"95,538.00","32,266,331.30"
71,2022-01-04,329.00,339.50,326.00,338.00,2.74,"153,230.00","51,342,630.80"
72,2022-01-03,323.90,331.00,320.90,329.00,2.49,"200,383.00","65,335,225.10"
73,2022-01-02,311.00,323.10,311.00,321.00,1.58,"114,133.00","36,649,823.00"
74,2021-12-29,320.00,321.90,316.00,316.00,-0.94,"58,672.00","18,613,379.30"
75,2021-12-28,320.00,322.00,313.10,319.00,0.95,"41,606.00","13,193,440.70"
76,2021-12-27,325.00,325.00,316.00,316.00,-1.25,"61,050.00","19,575,249.70"
77,2021-12-26,320.00,324.00,318.00,320.00,0.63,"89,164.00","28,632,474.90"
78,2021-12-23,321.10,321.10,315.00,318.00,0.98,"88,052.00","28,018,435.90"
79,2021-12-22,313.10,315.80,309.00,314.90,2.57,"68,932.00","21,576,314.40"
80,2021-12-21,300.00,307.00,300.00,307.00,2.40,"58,687.00","17,847,806.50"
81,2021-12-20,306.00,306.00,296.00,299.80,-0.07,"92,841.00","27,993,466.60"
82,2021-12-16,298.00,304.00,297.00,300.00,-0.99,"63,688.00","19,175,802.50"
83,2021-12-15,309.00,315.00,291.10,303.00,0.00,"140,796.00","42,406,675.60"
84,2021-12-14,294.90,303.00,285.20,303.00,4.48,"38,854.00","11,493,043.70"
85,2021-12-13,284.50,292.80,279.00,290.00,0.00,"95,972.00","27,600,736.60"
86,2021-12-12,290.10,295.00,288.90,290.00,-1.19,"74,389.00","21,685,997.40"
87,2021-12-09,293.10,296.00,290.20,293.50,0.17,"19,408.00","5,703,948.90"
88,2021-12-08,292.10,300.90,292.00,293.00,-1.35,"35,554.00","10,466,036.50"
89,2021-12-07,299.20,303.00,295.00,297.00,-0.34,"17,173.00","5,136,589.10"
90,2021-12-06,300.00,300.00,289.20,298.00,1.02,"59,491.00","17,534,908.60"
91,2021-12-05,302.00,302.00,293.50,295.00,-1.99,"70,785.00","20,959,789.10"
92,2021-12-02,306.00,308.00,301.00,301.00,-1.31,"52,968.00","16,103,164.70"
93,2021-12-01,307.90,308.00,303.00,305.00,0.99,"33,226.00","10,151,055.00"
94,2021-11-30,303.20,308.40,300.00,302.00,-0.13,"59,667.00","18,084,465.80"
95,2021-11-29,310.00,312.50,300.30,302.40,-1.31,"73,598.00","22,454,032.30"
96,2021-11-28,311.00,320.00,306.40,306.40,-3.34,"55,231.00","17,217,885.90"
97,2021-11-25,318.00,323.00,309.80,317.00,-0.31,"51,828.00","16,359,715.50"
98,2021-11-24,320.00,320.00,315.00,318.00,-0.47,"19,446.00","6,173,713.70"
99,2021-11-23,319.10,325.00,319.10,319.50,-0.87,"36,983.00","11,859,020.00"
100,2021-11-22,325.00,328.00,322.20,322.30,0.09,"27,353.00","8,886,933.00"
101,2021-11-21,323.00,325.00,320.10,322.00,0.00,"22,345.00","7,189,648.90"
102,2021-11-18,320.20,339.00,320.00,322.00,-1.23,"57,831.00","18,712,159.10"
103,2021-11-17,327.50,336.10,322.00,326.00,0.62,"49,057.00","16,162,584.30"
104,2021-11-16,320.20,324.80,318.10,324.00,1.25,"38,510.00","12,411,696.40"
105,2021-11-15,324.00,324.00,319.10,320.00,0.16,"31,990.00","10,257,222.40"
106,2021-11-14,318.00,322.00,315.00,319.50,0.00,"43,940.00","14,020,997.00"
107,2021-11-11,315.00,325.00,315.00,319.50,-0.47,"140,057.00","44,879,730.20"
108,2021-11-09,326.00,331.00,319.50,321.00,-3.31,"87,625.00","28,401,010.90"
109,2021-11-08,345.70,345.70,330.00,332.00,-2.06,"51,399.00","17,121,265.00"
110,2021-11-03,349.00,349.00,339.00,339.00,-1.74,"56,490.00","19,396,863.70"
111,2021-11-02,341.00,346.50,335.00,345.00,1.47,"93,614.00","32,041,997.10"
112,2021-11-01,338.50,345.50,335.00,340.00,2.41,"213,234.00","72,509,109.70"
113,2021-10-31,330.00,334.00,324.00,332.00,2.47,"106,955.00","35,215,015.30"
114,2021-10-28,328.00,328.00,323.30,324.00,-1.43,"60,124.00","19,498,630.50"
115,2021-10-27,333.00,334.00,323.00,328.70,0.40,"107,282.00","35,212,013.40"
116,2021-10-26,323.00,330.80,322.00,327.40,1.68,"111,401.00","36,379,549.50"
117,2021-10-25,315.00,323.00,315.00,322.00,0.94,"69,223.00","22,177,728.60"
118,2021-10-24,315.70,320.00,304.00,319.00,-0.95,"114,493.00","35,757,872.80"
119,2021-10-21,379.00,379.00,364.00,364.90,-1.80,"313,369.00","115,613,962.30"
120,2021-10-20,367.00,384.50,367.00,371.60,2.14,"89,343.00","33,233,958.30"
121,2021-10-19,370.00,370.00,356.00,363.80,-2.20,"105,022.00","37,930,012.10"
122,2021-10-18,386.00,386.00,370.50,372.00,-3.63,"124,485.00","46,742,860.40"
123,2021-10-17,389.90,394.00,381.50,386.00,0.00,"44,105.00","17,025,386.60"
124,2021-10-11,391.00,392.00,380.00,386.00,-0.39,"91,780.00","35,316,772.60"
125,2021-10-10,395.00,402.00,387.00,387.50,-0.15,"149,742.00","58,513,846.10"
126,2021-10-06,385.00,389.60,384.20,388.10,1.62,"102,791.00","39,843,644.10"
127,2021-10-05,383.00,384.00,379.80,381.90,1.27,"49,303.00","18,813,535.70"
128,2021-10-04,375.00,382.00,373.00,377.10,-0.92,"96,621.00","36,498,458.00"
129,2021-10-03,393.50,400.00,379.50,380.60,-1.35,"67,436.00","25,824,137.50"
130,2021-09-30,393.00,395.00,385.00,385.80,-1.30,"67,654.00","26,275,828.50"
131,2021-09-29,392.70,396.90,381.00,390.90,1.53,"77,958.00","30,218,557.60"
132,2021-09-28,394.00,394.00,381.20,385.00,-1.76,"114,028.00","43,974,418.10"
133,2021-09-27,400.00,400.00,388.00,391.90,-1.78,"104,865.00","40,962,388.00"
134,2021-09-26,419.20,419.20,398.50,399.00,-2.92,"185,751.00","75,289,293.30"
135,2021-09-23,405.00,422.00,405.00,411.00,3.27,"575,194.00","238,688,603.70"
136,2021-09-22,384.90,398.00,381.00,398.00,5.40,"117,891.00","46,084,033.30"
137,2021-09-21,370.00,392.00,367.20,377.60,1.10,"146,986.00","55,424,244.80"
138,2021-09-20,380.20,383.00,370.50,373.50,-2.48,"181,360.00","67,866,330.40"
139,2021-09-16,390.00,393.00,380.60,383.00,-2.79,"165,303.00","63,525,494.30"
140,2021-09-15,394.00,398.00,392.30,394.00,-1.01,"52,563.00","20,728,350.90"
141,2021-09-14,400.50,404.90,396.00,398.00,-0.62,"73,472.00","29,427,134.50"
142,2021-09-13,401.90,408.00,398.00,400.50,0.88,"130,938.00","52,686,650.40"
143,2021-09-12,394.80,402.00,390.00,397.00,2.56,"107,313.00","42,507,861.40"
144,2021-09-09,395.00,395.00,385.30,387.10,-1.00,"47,634.00","18,478,244.90"
145,2021-09-08,398.00,398.00,387.10,391.00,-1.76,"97,637.00","38,034,730.70"
146,2021-09-07,410.00,410.00,391.20,398.00,-2.93,"146,968.00","58,768,809.20"
147,2021-09-06,388.00,410.00,386.00,410.00,5.67,"163,079.00","65,292,412.90"
148,2021-09-05,394.00,399.00,385.30,388.00,-1.52,"150,587.00","58,634,118.60"
149,2021-09-02,399.10,404.00,392.20,394.00,-0.88,"232,228.00","91,907,361.30"
150,2021-09-01,388.00,405.00,388.00,397.50,0.63,"140,174.00","56,016,084.20"
151,2021-08-31,406.00,409.00,390.30,395.00,-2.71,"290,250.00","115,250,637.30"
152,2021-08-29,423.30,423.30,404.00,406.00,-2.17,"166,720.00","68,284,924.10"
153,2021-08-26,413.00,423.00,411.10,415.00,-0.72,"139,357.00","58,033,525.90"
154,2021-08-25,429.50,429.50,415.00,418.00,-0.74,"140,913.00","58,816,063.30"
155,2021-08-24,435.00,435.00,420.00,421.10,-1.64,"123,845.00","52,363,818.80"
156,2021-08-19,433.00,441.00,428.00,428.10,-1.13,"182,974.00","79,281,873.70"
157,2021-08-18,425.00,455.00,417.00,433.00,2.12,"254,492.00","109,909,587.60"
158,2021-08-17,444.70,444.70,423.00,424.00,-2.75,"233,400.00","100,063,032.00"
159,2021-08-16,440.00,440.00,427.00,436.00,-0.91,"194,333.00","84,117,763.10"
160,2021-08-15,442.00,448.00,421.40,440.00,-0.65,"328,639.00","142,501,601.60"
161,2021-08-12,439.00,443.50,427.50,442.90,2.29,"368,813.00","162,134,153.70"
162,2021-08-11,435.00,450.00,429.00,433.00,-0.46,"286,433.00","124,669,254.90"
163,2021-08-10,415.00,438.00,414.00,435.00,4.57,"368,422.00","158,355,580.70"
164,2021-08-09,420.00,421.70,415.70,416.00,-0.69,"99,199.00","41,382,170.00"
165,2021-08-08,426.90,427.00,418.10,418.90,-0.73,"146,770.00","62,037,395.10"
166,2021-08-05,420.00,425.00,418.50,422.00,0.72,"120,641.00","50,938,583.40"
167,2021-08-04,418.00,420.00,415.10,419.00,0.48,"108,687.00","45,561,321.40"
168,2021-08-03,426.00,426.00,415.10,417.00,-0.24,"110,878.00","46,190,231.60"
169,2021-08-02,417.00,424.00,413.00,418.00,0.24,"113,592.00","47,744,117.30"
170,2021-08-01,428.90,428.90,416.00,417.00,-1.14,"123,227.00","51,487,841.00"
171,2021-07-29,424.00,425.00,419.00,421.80,-0.57,"123,291.00","51,937,834.40"
172,2021-07-28,436.00,436.00,421.00,424.20,-0.89,"153,312.00","65,144,889.20"
173,2021-07-27,418.50,430.00,411.00,428.00,0.23,"335,622.00","142,109,352.60"
174,2021-07-26,450.00,450.00,425.00,427.00,-3.50,"577,249.00","248,933,519.10"
175,2021-07-25,430.00,442.50,428.00,442.50,4.36,"411,893.00","180,169,749.00"
176,2021-07-22,416.00,430.00,411.00,424.00,2.66,"381,368.00","161,095,858.30"
177,2021-07-20,415.00,416.00,408.00,413.00,-0.48,"160,841.00","66,163,789.50"
178,2021-07-19,421.00,425.00,409.00,415.00,0.48,"372,529.00","154,743,437.10"
179,2021-07-18,391.00,415.00,391.00,413.00,7.27,"454,517.00","184,739,352.60"
180,2021-07-15,404.00,404.00,382.00,385.00,0.00,"102,360.00","39,313,529.00"
181,2021-07-14,388.00,388.00,381.00,385.00,0.00,"48,685.00","18,686,915.00"
182,2021-07-13,400.00,400.00,381.00,385.00,0.26,"103,387.00","39,779,128.00"
183,2021-07-12,395.00,396.00,381.00,384.00,-2.04,"196,627.00","76,257,135.00"
184,2021-07-11,387.00,393.00,381.00,392.00,3.16,"162,025.00","62,860,238.00"
185,2021-07-08,373.00,380.00,372.00,380.00,1.88,"158,235.00","59,323,404.00"
186,2021-07-07,375.00,378.00,371.00,373.00,0.54,"116,451.00","43,371,536.00"
187,2021-07-06,374.00,375.00,370.00,371.00,-0.54,"116,202.00","43,169,414.00"
188,2021-07-05,376.00,377.00,373.00,373.00,-0.80,"63,490.00","23,746,232.00"
189,2021-07-04,381.00,384.00,375.00,376.00,-1.05,"126,417.00","47,502,858.00"
190,2021-07-01,380.00,386.00,379.00,380.00,-0.26,"88,156.00","33,708,954.00"
191,2021-06-30,375.00,381.00,373.00,381.00,0.00,"128,160.00","48,245,983.00"
192,2021-06-29,394.00,394.00,379.00,381.00,-2.06,"129,364.00","49,382,099.00"
